Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2013-07-05,79.4,79.4,63.26,66.93,32935.36592906,2322214.8281325,70.508244333291
2013-07-04,77.33,83.9,70.06,79.4,21957.43214384,1691620.9572234,77.040928380963
2013-07-03,88.04,89.56,75.11,77.01,20740.88552523,1710179.1693971,82.45449150745
2013-07-02,83.41,88.5,81.9,88.0,12666.39148742,1091461.1810004,86.169859986123
2013-07-01,89.41,90.16,80.94,84.5,20854.46869197,1784030.1636663,85.546661006678
2013-06-30,88.83,90.3,88.01,89.53,2390.67441288,213259.26574327,89.204646435465
2013-06-29,89.2,91.61,86.2,88.98,4373.62440255,391126.87288129,89.428546414101
2013-06-28,96.98,97.45,88.01,89.96,18557.52900345,1703663.1893534,91.804420137869
2013-06-27,98.75,98.76,96.0,96.31,4937.41675442,482170.11853092,97.656354023444
2013-06-26,97.57,99.98,96.13,98.77,4940.40777894,485879.38057458,98.348031643419
2013-06-25,98.83,101.0,97.47,97.87,5294.05179614,526380.46582056,99.428658065709
2013-06-24,100.4,102.3,95.0,99.47,9702.68839049,955431.21946986,98.47077232804
2013-06-23,100.0,101.45,98.5,100.41,1977.39270619,197763.91487468,100.01246300525
2013-06-22,101.29,103.0,98.55,100.0,3350.32557131,337220.75346463,100.65312946072
2013-06-21,103.0,104.86,90.0,101.8,12331.66300099,1230642.1762224,99.795313586143
2013-06-20,105.24,108.0,102.47,102.61,9088.52547567,962034.20190431,105.85151623106
2013-06-19,104.49,107.5,102.0,105.24,5483.53573255,577287.67432496,105.27654099128
2013-06-18,100.39,108.18,99.99,104.5,10874.74329689,1140452.0890219,104.87163309391
2013-06-17,98.74,101.47,98.29,100.0,4785.76602027,478802.76333391,100.04725707566
2013-06-16,99.43,101.11,98.0,99.37,3089.73462791,307992.69372824,99.68257174778
2013-06-15,99.01,105.0,96.22,99.42,4243.40771805,424828.53808249,100.1149468328
2013-06-14,101.86,102.95,95.0,99.01,10698.4120069,1065910.0026423,99.632543778915
2013-06-13,106.1,108.43,95.0,102.0,8047.28050101,832544.8658098,103.45667281081
2013-06-12,107.35,111.18,105.01,106.56,7612.62055255,823736.4889117,108.20669219298
2013-06-11,104.21,108.0,102.97,107.36,5234.35334037,556199.67277416,106.25948166022
2013-06-10,100.17,107.9,93.1,104.22,13536.55840755,1380204.7327484,101.96127340451
2013-06-09,109.11,110.0,90.0,100.17,30734.49888577,2998512.8425485,97.56179379052
2013-06-08,110.17,112.46,108.44,109.11,5055.00711397,554176.46112136,109.62921488079
2013-06-07,118.78,119.16,107.0,110.18,18261.47609584,2063005.1219613,112.97033772813
2013-06-06,120.98,121.33,118.43,118.78,4936.97817062,592802.38390699,120.07393255955
2013-06-05,120.58,122.74,119.65,121.2,4733.02694896,571825.81199197,120.8160904551
2013-06-04,123.22,123.66,116.32,120.57,7975.85871798,962931.13887535,120.73071664429
2013-06-03,123.35,125.01,117.0,123.22,8850.29223011,1064544.6194745,120.28355581895
2013-06-02,128.77,128.8,117.02,123.0,15138.12901202,1845021.6629576,121.87910814425
2013-06-01,127.76,128.86,127.09,128.77,3406.48517336,436509.99628446,128.14087661327
2013-05-31,126.78,129.87,125.06,127.91,5633.94849614,720534.77782959,127.89161603505
2013-05-30,130.01,131.0,124.9,126.81,9432.35613171,1215580.3473724,128.87345753261
2013-05-29,125.99,130.4,125.53,130.35,9946.83923725,1276086.5719848,128.29066013312
2013-05-28,126.2,127.11,123.0,125.92,6072.75780468,762645.76997767,125.5847498792
2013-05-27,130.27,130.6,120.33,126.25,7413.81180566,944067.49103967,127.33901477226
2013-05-26,128.98,130.29,127.97,129.5,3916.06467515,507344.03650429,129.55456014905
2013-05-25,128.65,129.73,126.03,128.97,5146.70519875,659629.10956169,128.16531821599
2013-05-24,123.84,129.94,122.52,128.7,13193.58203434,1667171.4264479,126.36230419522
2013-05-23,118.45,123.9,118.36,123.84,10212.79546118,1235081.7751747,120.93474111661
2013-05-22,117.25,119.48,117.0,119.11,7275.60471178,861702.64593451,118.4372543686
2013-05-21,117.81,118.56,116.9,117.5,3656.2547232,430370.51969473,117.70802426973
2013-05-20,117.27,118.94,114.03,116.55,4541.30988594,533212.72961176,117.41386141972
2013-05-19,118.49,118.98,114.1,116.38,4800.36143192,562576.33641272,117.19457886481
2013-05-18,117.51,118.55,115.99,118.49,3906.23090184,458946.99783228,117.49100587374
2013-05-17,113.36,118.16,112.82,116.73,9721.36089521,1122824.599427,115.50076285926
2013-05-16,108.96,113.35,108.35,113.35,7515.76166257,834106.76422767,110.98100254851
2013-05-15,107.0,113.0,101.72,108.95,10914.51829481,1187889.935293,108.83576381541
2013-05-14,115.98,117.9,103.5,107.0,12120.00783896,1369310.4295792,112.97933530848
2013-05-13,115.05,117.48,113.55,115.99,3412.04123442,396130.05608521,116.09767551726
2013-05-12,115.58,117.86,113.0,114.5,3366.70303467,386962.63065092,114.93815363756
2013-05-11,117.9,118.5,112.95,115.04,4692.10496687,541315.2303298,115.36724650278
2013-05-10,111.96,119.98,109.2,117.9,10480.13511879,1210254.4222662,115.48080330532
2013-05-09,113.16,113.95,109.0,111.96,6725.70842693,747542.34995774,111.14700526781
2013-05-08,110.92,116.29,109.41,113.16,8261.64064249,933648.9412619,113.01011284128
2013-05-07,112.67,112.95,98.77,110.0,14941.55263514,1598932.9612275,107.01250400625
2013-05-06,116.9,123.97,105.0,112.71,17251.55561438,2019204.733968,117.04479173373
2013-05-05,112.89,118.76,106.5,116.57,9033.94177783,1027108.5855686,113.69439950225
2013-05-04,98.08,115.64,94.0,112.62,15910.12807666,1680499.9874665,105.62454176166
2013-05-03,107.02,108.0,81.5,98.08,26863.56444609,2454817.0721811,91.380913992535
2013-05-02,116.75,127.24,93.01,106.81,21725.133598,2337279.8355445,107.58414096748
2013-05-01,139.87,140.3,104.9,116.75,21104.90212995,2571869.9251726,121.86125807818
2013-04-30,143.32,144.99,133.89,139.88,8465.29718136,1177535.6130471,139.10150911653
2013-04-29,135.31,151.65,123.96,143.31,10485.46213504,1481409.0372653,141.2821884421
2013-04-28,128.8,148.18,121.57,135.28,5136.5255006,687058.9269256,133.75946967368
2013-04-27,137.3,148.61,125.76,128.8,6686.07508764,880153.62556316,131.63980571954
2013-04-26,141.9,142.53,126.68,137.3,10688.92108773,1434028.9526636,134.16030868726
2013-04-25,150.0,170.28,123.2,141.9,16566.09169458,2371208.93102,143.13629157297
2013-04-24,137.3,161.0,134.98,149.0,21232.85034477,3132037.0027138,147.50902266333
2013-04-23,123.73,138.87,121.12,137.29,13391.87055752,1754207.7158988,130.99049220676
2013-04-22,118.91,125.01,116.0,123.74,6675.54945823,806995.96415327,120.88832075963
2013-04-21,126.55,129.0,101.0,118.81,17188.09077106,2014050.1689825,117.17707311469
2013-04-20,118.11,129.79,114.27,126.55,7474.81424834,917496.7901153,122.74509568168
2013-04-19,109.3,140.2,100.0,117.71,25498.95204842,3014004.7301747,118.2011215383
2013-04-18,89.98,111.23,78.92,109.3,16527.45971668,1599320.9634831,96.767500323657
2013-04-17,67.85,101.12,60.0,89.98,30854.42411947,2607701.5164468,84.516291937572
2013-04-16,73.99,82.0,49.8,68.09,35706.58629386,2335121.2498835,65.397493635091
2013-04-15,91.79,99.8,60.0,74.0,19578.12871598,1685980.1107105,86.11548811273
2013-04-14,90.44,99.99,81.94,91.11,5777.57333124,549492.0631616,95.107760933198
2013-04-13,109.9,119.0,85.0,91.64,16830.84314245,1708591.813302,101.51552116796
2013-04-12,81.02,112.0,45.0,109.9,29095.90818647,2208419.00352,75.901360059521
2013-04-11,162.0,179.0,50.0,83.4,37205.88492273,3955205.7734095,106.30591858314
2013-04-10,228.94,259.34,70.0,162.0,20889.47079028,3647719.8756347,174.62002327661
2013-04-09,185.6,235.29,164.34,229.0,11211.78878477,2408925.3272537,214.85646701854
2013-04-08,164.97,198.0,162.0,185.6,13411.06323591,2441789.8428342,182.07280063343
2013-04-07,141.0,165.1,140.65,164.97,6737.21244685,1031866.5776895,153.15927556536
2013-04-06,141.8,150.03,138.5,141.0,3504.27395363,496447.03936164,141.66901501733
2013-04-05,134.67,200.0,127.09,141.8,7564.27772159,1059570.0146749,140.07550405648
2013-04-04,133.87,150.0,119.0,135.0,7265.27300112,962558.35083782,132.48756800872
2013-04-03,116.0,158.41,110.0,133.78,15003.94850365,1942177.6817284,129.44443799283
2013-04-02,103.73,116.0,100.1,116.0,6441.03900269,703416.04686872,109.20847499525
2013-04-01,95.5,106.5,93.7,104.7,6540.7052677,651512.7150632,99.608939464154
2013-03-31,92.12,96.15,92.12,96.15,2003.81769842,188706.6240015,94.173548896335
2013-03-30,90.49,95.0,89.31,92.11,1799.52075455,167125.87780671,92.872436944192
2013-03-29,88.96,94.0,84.0,90.0,6658.41693742,598347.5041945,89.863327847768
2013-03-28,89.4,97.0,80.0,88.52,9823.47335779,885159.0994557,90.10653026852
2013-03-27,79.81,89.99,78.75,89.3,6073.07958286,528292.73432878,86.989265844594
2013-03-26,74.3,100.0,74.3,79.81,6748.6811185,536804.55615502,79.542142639322
2013-03-25,70.22,80.0,69.25,75.11,8198.25231403,600261.14395978,73.218183701486
2013-03-24,64.37,71.0,63.36,70.22,3627.69480395,249504.60703197,68.777728148546
2013-03-23,68.81,72.0,50.09,63.9,13092.94728399,799580.95669301,61.069592609659
2013-03-22,70.87,74.47,65.0,69.9,5462.69655236,385986.76657614,70.658650517461
2013-03-21,65.13,76.91,64.61,72.23,9864.56711014,697134.3407956,70.670545702812
2013-03-20,59.46,67.99,58.86,64.2,8546.00680193,529201.13670438,61.923790721166
2013-03-19,49.87,60.0,48.0,59.41,9303.93790035,514314.61886534,55.27924029308
2013-03-18,47.24,51.1,46.98,50.35,5924.10302677,285215.39120666,48.144907324842
2013-03-17,46.7,47.24,46.7,47.24,1102.96029809,51827.611067356,46.989552712919
2013-03-16,46.93,47.0,46.58,46.74,909.75563433,42583.453595462,46.807573362075
2013-03-15,46.95,47.29,46.9,46.9,1063.76443798,50102.522660161,47.099264528246
2013-03-14,46.99,47.97,46.8,46.95,3527.68709124,167173.93202882,47.389104448619
2013-03-13,44.29,47.09,44.2,46.99,3290.23440492,152004.66361419,46.198733861299
2013-03-12,48.15,48.25,36.0,44.84,11195.69562451,484836.08928088,43.305579710425
2013-03-11,45.97,48.38,45.6,48.25,3400.7859461,160700.38849826,47.253896906551
2013-03-10,45.76,47.0,45.0,45.29,1252.09771351,57957.990572334,46.288712092493
2013-03-09,43.77,46.0,42.0,46.0,3829.2199598,169630.81739044,44.299052854435
2013-03-08,41.68,44.37,40.56,43.76,4388.75944645,187903.31204123,42.814675612541
2013-03-07,42.31,46.0,33.0,41.68,16259.06198022,656197.27460091,40.358864207493
2013-03-06,40.66,49.17,40.66,42.32,10298.43893055,477703.0295591,46.385965172062
2013-03-05,36.56,41.0,36.53,40.75,6476.19220972,255026.77457085,39.379123767834
2013-03-04,34.33,37.0,34.24,36.52,6165.24472089,218170.50806824,35.38716108527
2013-03-03,34.29,34.34,33.91,34.33,1136.62608259,38835.950307694,34.167745138489
2013-03-02,34.55,34.77,33.6,34.16,2128.57214025,72650.361732729,34.131031013211
2013-03-01,33.53,34.75,33.25,34.55,3666.42582921,125024.61770262,34.09986278914
2013-02-28,31.31,34.42,31.31,33.53,6726.87432506,222654.28864248,33.09921932286
2013-02-27,31.01,31.77,30.45,31.31,3168.54441515,98872.371815744,31.204350913624
